Dataset,Model,ML Accuracy,FOLD-R++ Accuracy,Hybrid Accuracy,ML Precision,FOLD-R++ Precision,Hybrid Precision,ML Recall,FOLD-R++ Recall,Hybrid Recall,ML F1 Score,FOLD-R++ F1 Score,Hybrid F1 Score,ML Accuracy Std,FOLD-R++ Accuracy Std,Hybrid Accuracy Std,ML Precision Std,FOLD-R++ Precision Std,Hybrid Precision Std,ML Recall Std,FOLD-R++ Recall Std,Hybrid Recall Std,ML F1 Score Std,FOLD-R++ F1 Score Std,Hybrid F1 Score Std
heart,KNN,0.6425925925925926,0.7425925925925926,0.6425925925925926,0.6473752423550079,0.7499199224678434,0.6473752423550079,0.7453119958698051,0.7854119267405271,0.7453119958698051,0.6896525184122514,0.7639370603480342,0.6896525184122514,0.05384895922855406,0.06382250382993992,0.05384895922855406,0.06778416701445607,0.07759472663750401,0.06778416701445607,0.06148448196227535,0.08537623906871179,0.06148448196227535,0.04487809267255401,0.06180972006538327,0.04487809267255401
heart,Neural Network,0.8092592592592593,0.7425925925925926,0.8018518518518519,0.8470068226120858,0.7499199224678434,0.8303759764573229,0.7858112025454824,0.7854119267405271,0.7876387492006154,0.812191968691452,0.7639370603480342,0.8065323022868146,0.034973371541272315,0.06382250382993992,0.049421281237649606,0.049511636301166936,0.07759472663750401,0.06842972683300792,0.08112393313503098,0.08537623906871179,0.07234551217981583,0.045142628944184436,0.06180972006538327,0.05702382106835328
heart,Random Forest,0.7944444444444445,0.7425925925925926,0.7944444444444445,0.7913756613756614,0.7499199224678434,0.7835212221398262,0.8375759035495344,0.7854119267405271,0.8498695804983838,0.8124481918958427,0.7639370603480342,0.8139325661441139,0.043165762313696524,0.06382250382993992,0.056877281480441716,0.048185052336248035,0.07759472663750401,0.06311818861638295,0.059511403422942755,0.08537623906871179,0.0712780104017328,0.04295619754264522,0.06180972006538327,0.05688513838812267
heart,SVM,0.6351851851851852,0.7425925925925926,0.7148148148148148,0.6180085246837493,0.7499199224678434,0.7064815824701809,0.8383593230449214,0.7854119267405271,0.807814252084029,0.7096134045096636,0.7639370603480342,0.7512279559444688,0.05241464127247846,0.06382250382993992,0.07417688338666566,0.06222777005904376,0.07759472663750401,0.0814626892611557,0.06101787567484413,0.08537623906871179,0.07899842813860015,0.04818403056945538,0.06180972006538327,0.06528280289130382
autism,KNN,0.873758865248227,0.9340425531914894,0.873758865248227,0.8925187165494236,0.9445588050645686,0.8925187165494236,0.9394697150446933,0.9657060808449349,0.9394697150446933,0.9152243066647747,0.9548994064068289,0.9152243066647747,0.015609999072547691,0.020350202568943158,0.015609999072547691,0.015586200674553094,0.015767836885281758,0.015586200674553094,0.01872939473355343,0.02084224413338527,0.01872939473355343,0.011126026737019193,0.014545214721359676,0.011126026737019193
autism,Neural Network,0.975177304964539,0.9340425531914894,0.9765957446808511,0.9788062963102406,0.9445588050645686,0.9798107761582919,0.9873245081736381,0.9657060808449349,0.988295381960046,0.9829761385598959,0.9548994064068289,0.9839466833555841,0.013477250887696666,0.020350202568943158,0.012077578982926523,0.015887865157766086,0.015767836885281758,0.016795460988449876,0.007906649071928165,0.02084224413338527,0.0061023795293069505,0.009110837618937877,0.014545214721359676,0.008173095967076984
autism,Random Forest,0.973758865248227,0.9340425531914894,0.9609929078014184,0.9740973126110368,0.9445588050645686,0.9657108006341846,0.9901890993537634,0.9657060808449349,0.9813616261711523,0.9819948039956834,0.9548994064068289,0.9733002896092211,0.015699250795162163,0.020350202568943158,0.013477250887696624,0.01709316074426554,0.015767836885281758,0.019711725622161662,0.01133865076245327,0.02084224413338527,0.012553551344752582,0.011047111927495561,0.014545214721359676,0.009422028812598373
autism,SVM,0.726241134751773,0.9340425531914894,0.9411347517730496,0.726241134751773,0.9445588050645686,0.9353335812915253,1.0,0.9657060808449349,0.987227360872223,0.8413066054230619,0.9548994064068289,0.9605090817038224,0.017436490699371865,0.020350202568943158,0.01862968161214712,0.017436490699371865,0.015767836885281758,0.017640174403307122,0.0,0.02084224413338527,0.012505869723596843,0.011738083457135973,0.014545214721359676,0.012792423827554604
breastw,KNN,0.9435714285714285,0.9464285714285714,0.9435714285714285,0.9253883009931642,0.9076944719778209,0.9253883009931642,0.9089592166215246,0.9410349577232546,0.9089592166215246,0.9161966505548932,0.9235252348804911,0.9161966505548932,0.01827293700414278,0.021886638465297918,0.01827293700414278,0.05181685759084236,0.046713463628077004,0.05181685759084236,0.03333563588522582,0.025197111830066135,0.03333563588522582,0.03182048466466111,0.03091927825394317,0.03182048466466111
breastw,Neural Network,0.9357142857142857,0.9464285714285714,0.9442857142857143,0.9092963450339028,0.9076944719778209,0.9146339856360696,0.9070239704358698,0.9410349577232546,0.9270635894108434,0.9057470974773623,0.9235252348804911,0.918912340182995,0.023328473740792173,0.021886638465297918,0.022028635249943584,0.05789820256966834,0.046713463628077004,0.05762201155403349,0.060095970426146325,0.025197111830066135,0.049353686444142036,0.03555280123421044,0.03091927825394317,0.03367053513785355
